title,release_date,developer,publisher,tags,bundle,music
Rayland,"6 Nov, 2021",Naoka Games,Naoka Games,"Casual,Strategy,Point & Click,Puzzle,Clicker,3D,Colorful,Isometric,Minimalist,Top-Down,Atmospheric,Futuristic,Logic,Mechs,Relaxing,Quick-Time Events,Physics,Grid-Based Movement,Singleplayer,Choices Matter",,Buy Rayland
Light Up The Sky,"20 Nov, 2023",ShortStackStudio,ShortStackStudio,"Casual,2.5D,Exploration,Atmospheric,Minimalist,Adventure,Nature,Platformer,Hidden Object,Collectathon,Noir,Precision Platformer,Controller,Singleplayer,Short",,Buy Light Up The Sky
"Athena, the rabbit - Jigsaw Puzzle","4 Feb, 2021",ShortStackStudio,ShortStackStudio,"Tabletop,Short,Family Friendly,Puzzle,Cute,Colorful,Relaxing,Minimalist,Clicker,Education,Point & Click,Board Game,Casual,Realistic,Singleplayer,Hidden Object,2D,Minigames",,Buy Athena - Rabbit Jigsaw Puzzle
Mini Moves: Among Stars,"22 Dec, 2020",ShortStackStudio,ShortStackStudio,"Mouse only,Education,Minigames,Stylized,Clicker,Family Friendly,Minimalist,Logic,3D,Puzzle,Short,Atmospheric,Space,God Game,Top-Down,Point & Click,Relaxing,Colorful,Hidden Object,Collectathon",,Buy Mini Moves: Among Stars
Gorgon Shield,"29 Jul, 2024",Whiskeybarrel Studios,2 Left Thumbs,"Party-Based RPG,Roguelite,Real Time Tactics,Retro,Dungeon Crawler,Pixel Graphics,Action Roguelike,2.5D,1980s,Strategy,Arcade,Strategy RPG,Action RPG,Procedural Generation,Roguelike,RPG,Singleplayer,Cartoon,Fantasy,Class-Based",,Buy Gorgon Shield
Rayland 2,"6 Mar, 2023",Naoka Games,Naoka Games,"Casual,Strategy,Puzzle,Point & Click,Clicker,3D,Colorful,Cute,Isometric,Minimalist,Logic,Indie,Family Friendly,Relaxing,Controller,Singleplayer,Grid-Based Movement",,Buy Rayland 2
Bunny's Trail,"17 Nov, 2020",ShortStackStudio,ShortStackStudio,"Casual,Puzzle,Collectathon,Colorful,Cute,Top-Down,Family Friendly,Logic,Short,3D Vision,Grid-Based Movement,Singleplayer,Early Access,Hidden Object,Puzzle Platformer,Psychological Horror,Great Soundtrack,Education,Minigames,Stylized",,Buy Bunny's Trail
Schism,"11 Dec, 2023",Fami,2 Left Thumbs,"Early Access,Action Roguelike,RPG,Gun Customization,Bullet Hell,Top-Down Shooter,Difficult,Shoot 'Em Up,Dungeon Crawler,Replay Value,Looter Shooter,Roguelike,Action-Adventure,Post-apocalyptic,Stylized,Abstract,Pixel Graphics,Procedural Generation,Sci-fi,Perma Death",,
Picayune Dreams,"4 Dec, 2023",Stepford,2 Left Thumbs,"Bullet Hell,Psychedelic,Action Roguelike,Lore-Rich,Space,Transhumanism,Procedural Generation,Arena Shooter,Pixel Graphics,Action,Sci-fi,Roguelike,Surreal,Female Protagonist,Colorful,Futuristic,Top-Down Shooter,Survival,Roguelite,Exploration",,
Paper Planet,"21 Aug, 2023",Doodlegames,2 Left Thumbs,"Action Roguelike,Tower Defense,Bullet Hell,Arcade,Local Co-Op,Roguelike,Shoot 'Em Up,Hand-drawn,Cartoony,Space,Local Multiplayer,Multiplayer,Co-op,Family Friendly,Top-Down Shooter,Cartoon,Funny,Action,Retro,Cute",,Buy Paper Planet
Dead Estate,"19 Oct, 2021",Milkbar Lads,2 Left Thumbs,"Action Roguelike,Twin Stick Shooter,Horror,Shoot 'Em Up,Replay Value,Roguelike,Difficult,Dungeon Crawler,Perma Death,Action,Shooter,Isometric,Demons,Pixel Graphics,Zombies,Procedural Generation,Sexual Content,Gore,Singleplayer,Anime",,
WizardChess,,TwoPM Studios,,"Pixel Graphics,Chess,Fantasy,Roguelike,Tactical,Board Game,Singleplayer,Roguelike Deckbuilder,Turn-Based Strategy,Tabletop,Deckbuilding,Arcade,Grid-Based Movement,Turn-Based,Cartoony,Turn-Based Tactics,Comedy,Early Access,Strategy,Procedural Generation",,Buy WizardChess
Heretic's Fork,"13 Sep, 2023",9FingerGames,Ravenage Games,"Deckbuilding,Tower Defense,Arcade,Strategy,Action,Card Game,2D,Roguelike Deckbuilder,Bullet Hell,Tactical,Roguelite,Singleplayer,Top-Down,Roguelike,Perma Death,Pixel Graphics,Arena Shooter,Demons,Auto Battler,Casual",,Buy Heretic's Fork
Magenta Horizon - Neverending Harvest,"6 Dec, 2024",Maddison Baek(Hellfire Railway Interactive),2 Left Thumbs,"Adventure,Hack and Slash,2D Platformer,Spectacle fighter,Character Action Game,Difficult,Fast-Paced,Female Protagonist,Action,Souls-like,Score Attack,Gothic,Platformer,Stylized,Singleplayer,Colorful,Beat 'em up,Early Access,Surreal,Dark Fantasy",,
Decline's Drops,"10 Oct, 2024",Moulin aux Bulles Studio,Moulin aux Bulles Studio,"2D Platformer,Beat 'em up,Precision Platformer,Spectacle fighter,Collectathon,PvE,Platformer,2D Fighter,Action-Adventure,Female Protagonist,2D,Comic Book,Cute,Lore-Rich,Narration,Story Rich,Controller,Action,Cartoony,Colorful",,
Sin Slayers: Reign of The 8th,"25 Nov, 2024",goonswarm,goonswarm,"Turn-Based Strategy,Roguelike,Dark,Strategy,Roguelite,RPG,Party-Based RPG,Dungeon Crawler,Crafting,Turn-Based Combat,Exploration,Tactical RPG,Dark Fantasy,Turn-Based Tactics,JRPG,Action RPG,Procedural Generation,Strategy RPG,1990's,Adventure",,
Megaloot,"30 Aug, 2024",axilirate,Ravenage Games,"Inventory Management,Dungeon Crawler,Loot,RPG,Roguelite,Character Customization,Pixel Graphics,Replay Value,Turn-Based Combat,Roguelike,Turn-Based Strategy,Medieval,Strategy,Strategy RPG,Minimalist,Deckbuilding,Fantasy,Singleplayer,2D,Casual",,
Megaloot Demo,"13 Oct, 2023",axilirate,Ravenage Games,"Casual,RPG,Strategy,Roguelike,Strategy RPG,Turn-Based Strategy,Roguelite,Dungeon Crawler,2D,Minimalist,Pixel Graphics,Fantasy,Loot,Medieval,Character Customization,Deckbuilding,Inventory Management,Perma Death,Turn-Based Combat,Singleplayer",,
Mega City Force,"28 Jul, 2023",Undreamed Games,Ravenage Games,"Action,Roguelike,Hero Shooter,Shooter,Action Roguelike,America,Bullet Hell,Dungeon Crawler,Shoot 'Em Up,Top-Down Shooter,Twin Stick Shooter,Pixel Graphics,1980s,Dystopian,Difficult,Action-Adventure,Sci-fi,Singleplayer,Procedural Generation,Roguelite",,Buy Mega City Force
Frozen Flame,"17 Nov, 2022",Dreamside Interactive,Ravenage Games,"Early Access,Open World Survival Craft,Online Co-Op,Adventure,Base Building,RPG,Exploration,Open World,Survival,Action,Co-op Campaign,Sandbox,Fantasy,Colorful,Building,PvP,Dark Fantasy,Crafting,Multiplayer,Hack and Slash",,Buy Frozen Flame
NecroBouncer,"8 Dec, 2022",Alchemy Sheep,Ravenage Games,"Roguelike,Pixel Graphics,Dungeon Crawler,Hack and Slash,Roguelite,Action Roguelike,Action,Top-Down,Tactical,Controller,Supernatural,Dark Fantasy,Perma Death,Procedural Generation,Singleplayer,2D,Atmospheric,Difficult,Character Customization,Colorful",,Buy NecroBouncer
Frail Hearts: Versicorae Domlion,"16 Aug, 2022",Sezhes,Ravenage Games,"JRPG,Visual Novel,Dark,Story Rich,Turn-Based Combat,2D,Singleplayer,Horror,Indie,Lovecraftian,Mystery,Old School,Drama,Pixel Graphics,Mature,NSFW,RPG,RPGMaker,Hand-drawn,Nudity",,
Soul's Spectrum,"19 Oct, 2023",Thund Games,Ravenage Games,"Mystery Dungeon,Puzzle,Adventure,RPG,Exploration,Action-Adventure,Puzzle Platformer,Story Rich,Female Protagonist,JRPG,Metroidvania,2D,Pixel Graphics,Dark,Emotional,Fantasy,Mystery,Magic,Supernatural,Surreal",,
The Crackpet Show,"15 Dec, 2022",Vixa Games,Ravenage Games,"Funny,Difficult,Twin Stick Shooter,Action Roguelike,Roguelike,Dark Humor,Cute,Shoot 'Em Up,Controller,Replay Value,Bullet Hell,Shooter,Atmospheric,Procedural Generation,Roguelite,Co-op,Indie,Local Multiplayer,Dungeon Crawler,Local Co-Op",,
Dwarven Skykeep,"1 Dec, 2022",Hack The Publisher,Ravenage Games,"Base Building,Resource Management,Deckbuilding,Strategy,Funny,Atmospheric,Pixel Graphics,Indie,Replay Value,Management,Fantasy,Medieval,Building,Card Game,Singleplayer,Casual,2D,Side Scroller,Story Rich,Cute",,Buy Dwarven Skykeep
Don Duality,"25 Aug, 2023",Königsborgs,Ravenage Games,"Casual,Card Game,Roguelike,Management,Roguelite,Mouse only,Pixel Graphics,Clicker,Strategy,Funny,Simulation,2D,Resource Management,Relaxing,Singleplayer,Tutorial,Cartoony,GameMaker,Minimalist,Point & Click",,Buy Don Duality
Daydream: Forgotten Sorrow,"14 Jun, 2023",Frozen Line,Ravenage Games,"Story Rich,Adventure,Cute,Emotional,Puzzle Platformer,Puzzle,Atmospheric,Platformer,Fantasy,Horror,Action-Adventure,Colorful,2.5D,Psychological Horror,Action,Dark,Singleplayer,Stealth,Indie,Surreal",,Buy Daydream: Forgotten Sorrow
Three Minutes To Eight,,Chaosmonger Studio,,"Mystery,Story Rich,Multiple Endings,Point & Click,Indie,Adventure,Puzzle,Interactive Fiction,Time Travel,Sci-fi,Choices Matter,Atmospheric,Psychological,Side Scroller,Futuristic,Detective,Pixel Graphics,Voxel,2.5D,2D",,
Soul Tolerance: Prologue,"11 Dec, 2023",Chaosmonger Studio,Chaosmonger Studio,"Investigation,Point & Click,Exploration,Cyberpunk,Robots,Detective,Voxel,Adventure,Noir,Puzzle,Interactive Fiction,Third Person,Open World,Story Rich,Narration,Philosophical,Dystopian,Sci-fi,Mystery,Logic",,Buy Soul Tolerance
Beyond The Edge Of Owlsgard,"23 Dec, 2022",WatchDaToast,Assemble Entertainment,"Point & Click,Adventure,Cute,Pixel Graphics,Nostalgia,Exploration,2D,Cartoon,Puzzle,Comic Book,Cartoony,Colorful,Fantasy,1990's,Comedy,Immersive,Stylized,Family Friendly,Dystopian,Old School",,Buy Beyond The Edge Of Owlsgard
Windy Meadow - A Roadwarden Tale,"16 Oct, 2023",Moral Anxiety Studio,Assemble Entertainment,"Adventure,Interactive Fiction,Visual Novel,Pixel Graphics,Old School,Atmospheric,Dark Fantasy,Emotional,Relaxing,Fantasy,Medieval,Nature,Retro,Story Rich,Linear,Text-Based,Multiple Endings,Female Protagonist,Singleplayer",,
Growth,,VoodooDuck,,"Strategy,Simulation,Puzzle,Relaxing,Casual,Exploration,Cozy,Procedural Generation,Nature,2D,Indie,Singleplayer",,
Hauma - A Detective Noir Story,,SenAm Games,,"Visual Novel,Detective,Female Protagonist,Comic Book,Indie,Noir,Mystery,Investigation,Conspiracy,Crime,Puzzle,Adventure,Point & Click,Story Rich,Atmospheric,Interactive Fiction,Exploration,Conversation,Singleplayer,Narration",,
Verne: The Shape of Fantasy,,Gametopia,,"Interactive Fiction,Dystopian,Steampunk,Narrative,Pixel Graphics,Atmospheric,Adventure,Exploration,Puzzle,Old School,Story Rich,Hidden Object,Choices Matter,Conversation,Submarine,Underwater,Point & Click,2D,Singleplayer,Indie",,
Super Catboy,,Pixelpogo,,"Pixel Graphics,Indie,Action-Adventure,Shooter,Action,Adventure,2D Platformer,Cats,Shoot 'Em Up,Retro,1990's,Platformer,Arcade,Side Scroller,Cute,Old School,2D,Controller,Beat 'em up,Singleplayer",,Buy Super Catboy
Suffer The Night,,Tainted Pact,,"Horror,Survival Horror,Atmospheric,Mystery,Lovecraftian,Puzzle,Typing,Action,Adventure,Action-Adventure,3D Platformer,FPS,2D,3D,Pixel Graphics,1980s,1990's,Psychological Horror,Survival,Thriller",,
Moviehouse – The Film Studio Tycoon,"5 Apr, 2023",Odyssey Studios,Assemble Entertainment,"Simulation,Strategy,Casual,Sandbox,Trivia,Immersive Sim,Isometric,Cartoony,Relaxing,Realistic,Point & Click,Economy,Artificial Intelligence,Management,Procedural Generation,Resource Management,Singleplayer,Cute,Family Friendly,Clicker",,Buy Moviehouse
Roadwarden,,Moral Anxiety Studio,,"RPG,Text-Based,Adventure,Indie,Pixel Graphics,Interactive Fiction,Story Rich,Choose Your Own Adventure,Fantasy,Choices Matter,Visual Novel,Multiple Endings,Dark Fantasy,Atmospheric,Mystery,Singleplayer,Detective,Drama,Crime,Great Soundtrack",,
Land Above Sea Below,"13 Sep, 2023",Glasscannon Studio,Skystone Games,"City Builder,Logic,Strategy,Puzzle,Relaxing,Indie,Building,Sandbox,Atmospheric,Turn-Based Tactics,Turn-Based Strategy,Nature,3D,Cute,Controller,Casual,Procedural Generation,Singleplayer,Colorful,Minimalist",,Buy Land Above Sea Below
Makis Adventure,"18 Jan, 2023",Zoroarts,Zoroarts,"Action,Metroidvania,Action-Adventure,Pixel Graphics,Exploration,Dark Fantasy,Fantasy,Adventure,2D,2D Platformer,Side Scroller,Platformer,Linear,Hand-drawn,Indie,Atmospheric,Combat,Singleplayer",,
Massacre At The Mirage,,Tainted Pact,,"Psychological Horror,Horror,Thriller,Survival Horror,Adventure,Mystery,Action,Survival,Action-Adventure,Immersive Sim,3D,First-Person,Psychedelic,Realistic,Dark,Linear,Singleplayer,Gore,Indie",,
The Life and Suffering of Sir Brante,"4 Mar, 2021",Sever,101XP,"Choices Matter,RPG,Story Rich,Interactive Fiction,Choose Your Own Adventure,Visual Novel,Text-Based,Indie,Medieval,Adventure,Simulation,Singleplayer,Atmospheric,Replay Value,Strategy,Dark Fantasy,Violent,Management,2D,Tabletop",,Buy The Life and Suffering of Sir Brante
Suzerain,"4 Dec, 2020",Torpor Games,Torpor Games,"Visual Novel,Choose Your Own Adventure,Political Sim,Interactive Fiction,Political,Choices Matter,Text-Based,Story Rich,Multiple Endings,Strategy RPG,Point & Click,RPG,Politics,Alternate History,Drama,Adventure,Singleplayer,Old School,Narrative,Hand-drawn",,Buy Suzerain
"Yes, Your Grace","6 Mar, 2020",Brave At Night,No More Robots,"Medieval,Choices Matter,RPG,Pixel Graphics,Management,Simulation,Strategy,Resource Management,Multiple Endings,Interactive Fiction,Singleplayer,Fantasy,Political,Adventure,Point & Click,War,Historical,Turn-Based,Inventory Management,Puzzle",,"Buy Yes, Your Grace"
CaseCracker,"19 Dec, 2022",BlackRobe,IndieArk,"Text-Based,Detective,Puzzle,Psychological Horror,Hacking,RPG,Word Game,Story Rich,2D,Strategy,Simulation,Typing,Casual,First-Person,Realistic,Logic,Drama,Mystery,Adventure,Singleplayer",,
The Operator,"22 Jul, 2024",Bureau 81,Bureau 81,"Detective,Investigation,Conspiracy,Atmospheric,Puzzle,Mystery,Immersive Sim,Thriller,Simulation,Crime,Narration,Point & Click,FMV,Narrative,Story Rich,Adventure,Interactive Fiction,Choose Your Own Adventure,Visual Novel,RPG",,
CaseCracker2,"16 May, 2024",BlackRobe,NPC Entertainment,"Story Rich,Mystery,Detective,Immersive Sim,Word Game,Drama,Text-Based,Typing,Logic,Psychological Horror,Singleplayer,Simulation,Strategy,Exploration,2D,Atmospheric,Conspiracy,Point & Click,Noir,Puzzle",,
The Case of the Golden Idol,"13 Oct, 2022",Color Gray Games,Playstack,"Mystery,Detective,Investigation,Conspiracy,Puzzle,2D,Story Rich,Point & Click,Thriller,Interactive Fiction,Dark,Atmospheric,Singleplayer,Pixel Graphics,Choices Matter,Historical,Adventure,Crime,Narrative,Exploration",,
Cyber Manhunt 2: New World - The Hacking Simulator,"9 May, 2024",Aluba Studio,Spiral Up Games,"Hacking,Story Rich,Dark Humor,Dystopian,Choices Matter,Mystery,Point & Click,Simulation,Clicker,RPG,Strategy,Drama,2D,Casual,Detective,Word Game,Singleplayer,Puzzle,Immersive Sim,Early Access",,Buy Cyber Manhunt 2: New World -  The Hacking Simulator
Murders on the Yangtze River,"30 Jan, 2024",OMEGAMES STUDIO,OMEGAMES STUDIO,"Adventure,Detective,Puzzle,Indie,Story Rich,Exploration,Puzzle Platformer,Drama,Mystery,Investigation,Logic,Historical,Lore-Rich,RPG,Singleplayer,Text-Based,First-Person,Old School,2D,Colorful",,
Cyber Manhunt,"2 Feb, 2021",Aluba Studio,Aluba Studio,"Simulation,RPG,Puzzle,Hacking,Indie,Mystery,Detective,Singleplayer,Crime,Immersive Sim,Story Rich,Cyberpunk,2D,Atmospheric,Investigation,Word Game,Casual,Psychological Horror,Early Access,Linear",,Buy Cyber Manhunt
The Rise of the Golden Idol,"12 Nov, 2024",Color Gray Games,Playstack,"Mystery,Investigation,Detective,Conspiracy,Adventure,2D,Puzzle,Atmospheric,Choices Matter,Crime,Dark,Exploration,Historical,Interactive Fiction,Narrative,Pixel Graphics,Point & Click,Singleplayer,Story Rich,Thriller",,
The Hungry Lamb: Traveling in the Late Ming Dynasty,"22 Apr, 2024",零创游戏(ZerocreationGame),零创游戏(ZerocreationGame),"Visual Novel,Historical,Multiple Endings,Interactive Fiction,Story Rich,Cooking,Dating Sim,Dark,Adventure,Anime,Cute,Word Game,Drama,Romance,RPG,Psychological Horror,Singleplayer,Mystery,Casual,Medieval",,Buy The Hungry Lamb: Traveling in the Late Ming Dynasty
Murders on the Yangtze River Demo,"19 Sep, 2022",OMEGAMES STUDIO,OMEGAMES STUDIO,"Adventure,RPG,Interactive Fiction,Word Game,Visual Novel,Puzzle,Exploration,Side Scroller,2D,Drama,Historical,Story Rich,Multiple Endings,Singleplayer",,
Black & White,"16 Mar, 2023",零创游戏(ZerocreationGame),方块游戏(CubeGame),"Adventure,Strategy,RPG,Turn-Based Strategy,JRPG,Visual Novel,Strategy RPG,Roguelike,Tactical RPG,Anime,Faith,Zombies,Dystopian,Aliens,Turn-Based Tactics,Story Rich,Turn-Based Combat,Singleplayer,Indie",,
Lay a Beauty to Rest: The Darkness Peach Blossom Spring,"21 Oct, 2021",零创游戏(ZerocreationGame),零创游戏(ZerocreationGame),"Adventure,Mystery,Multiple Endings,Visual Novel,Investigation,Interactive Fiction,Story Rich,Word Game,Dating Sim,Anime,Singleplayer,Indie,Casual,2D,Drama,Romance,Mature,Dark,Sexual Content,Time Management",,Buy 葬花
Yog-Sothoth’s Yard,"19 Oct, 2023",Bone Nail,Bone Nail,"Simulation,Dating Sim,Visual Novel,RPG,Base Building,Cute,Horror,JRPG,Anime,City Builder,Building,Mythology,Story Rich,Interactive Fiction,Multiple Endings,Singleplayer,Roguelite,Strategy,Cooking,Dark Fantasy",,Buy Yog-Sothoth’s Yard
苍白花树繁茂之时Blood Flowers,"14 Apr, 2023",Bone Nail,Bone Nail,"JRPG,Puzzle,Drama,Indie,Mystery,Visual Novel,Horror,Anime,Atmospheric,Singleplayer,Story Rich,RPG,Strategy RPG,Adventure,Early Access,Exploration,Lore-Rich,Casual,2D,2D Platformer",,
Trainee Death Simulator,"12 Nov, 2024",Bone Nail,Bone Nail,"Indie,Simulation,Card Game,Choices Matter,Multiple Endings,RPG,2D Platformer,Singleplayer,Cartoon,Cartoony,Medieval,Drama,Gothic,Logic,Dark Fantasy,JRPG,Cute,Anime,Strategy,Detective",,
第五件遗留物,"8 Feb, 2021",狼烟游戏studio,NiceBoat,"RPG,Interactive Fiction,JRPG,2D,Adventure,Story Rich,First-Person,Linear,Multiple Endings,Text-Based,Puzzle,Casual,Indie,Anime,Mystery,Emotional,Singleplayer,Puzzle Platformer,2D Platformer",,
WILL: A Wonderful World / WILL：美好世界,"6 Jun, 2017",WMY Studio,WMY Studio,"Visual Novel,Story Rich,Choices Matter,Indie,Word Game,Casual,Puzzle,Adventure,Anime,Mystery,Female Protagonist,Singleplayer,Great Soundtrack,Choose Your Own Adventure,Atmospheric,Surreal,Fantasy,2D,Sci-fi,Cute",,Buy WILL: A Wonderful World
Trainee Death Simulator Demo,"10 Oct, 2024",Bone Nail,Bone Nail,"Simulation,Strategy,RPG,Choices Matter,Card Game,JRPG,Multiple Endings,2D Platformer,Exploration,2D,Anime,Cartoon,Cute,Cartoony,Stylized,Drama,Gothic,Detective,Lovecraftian,Logic",,
第五件遗留物全音乐包,"8 Feb, 2021",狼烟游戏studio,好传游戏,"Adventure,RPG,Indie,Casual",,
Far Away,"17 Aug, 2021",Gratesca,Gratesca,"Singleplayer,Choices Matter,Visual Novel,Word Game,Story Rich,Choose Your Own Adventure,Female Protagonist,Anime,Cute,Indie,Adventure,Interactive Fiction,2D,Investigation,Dark Humor,Replay Value,Multiple Endings,Conspiracy,Comedy,Crime",,
THE ART OF FAR AWAY,"17 Mar, 2022",Gratesca,Gratesca,"RPG,Indie,Casual,Adventure,Story Rich,Visual Novel,Choose Your Own Adventure,Cute,Dark Humor,Hand-drawn,Female Protagonist,Interactive Fiction,Word Game,2D,Anime,Atmospheric,Singleplayer,Comic Book,Design & Illustration,Fantasy",,
Noctuary,"28 Nov, 2023",Gratesca,Gratesca,"Cute,Interactive Fiction,Anime,Story Rich,Visual Novel,JRPG,Text-Based,Multiple Endings,Adventure,Lore-Rich,Bullet Hell,Singleplayer,Emotional,Cartoony,Cinematic,Female Protagonist,LGBTQ+,RPG,Drama,Post-apocalyptic",,Buy Noctuary
The Coma 2B: Catacomb,,"Dvora Studio Co., Ltd.",,"Dark,Horror,Action,Adventure,Singleplayer,Survival Horror,2D,Mystery,Story Rich,Survival,Visual Novel,Puzzle,Mystery Dungeon,Exploration,Hand-drawn,Lore-Rich,Lovecraftian,Psychological Horror,Anime,Violent",,
Don't Be Afraid 2,"28 Oct, 2024",Eneida Games,Eneida Games,"Horror,Psychological Horror,First-Person,Puzzle,Atmospheric,Adventure,Singleplayer,Exploration,Dark,Walking Simulator,Mystery,Gore,Story Rich,Survival Horror,Multiple Endings,Narration,3D,Emotional,Hidden Object,Psychological",,Buy Don't Be Afraid 2
Massacre At The Mirage Demo,"26 Jan, 2024",Tainted Pact,Assemble Entertainment,"Adventure,Psychological Horror,Horror,Thriller,Atmospheric,Mystery,Action-Adventure,Gore,Dark,First-Person,Action,3D,Psychedelic,Immersive,Realistic,Survival,Survival Horror,Linear,Singleplayer,Indie",,
Terror At Oakheart,,Tainted Pact,,"Survival Horror,Horror,Side Scroller,2D Platformer,Puzzle,Action-Adventure,RPG,2D,Psychological Horror,Dark Humor,Story Rich,Pixel Graphics,Linear,Thriller,Lovecraftian,Demons,Singleplayer,Adventure,Atmospheric,Gore",,
Moons of Madness,"22 Oct, 2019",Rock Pocket Games,Funcom,"Adventure,Horror,Lovecraftian,Sci-fi,Space,First-Person,Exploration,Mars,Psychological Horror,Singleplayer,Puzzle,Atmospheric,Survival,Mystery,Thriller,Walking Simulator,Science,Psychological,Indie,Alternate History",,Buy Moons of Madness
Fort Solis,,Fallen Leaf,,"Thriller,Mars,Story Rich,Sci-fi,Futuristic,Space,Walking Simulator,Narration,Mystery,Adventure,Cinematic,Exploration,Third Person,Realistic,3D,Linear,Singleplayer,Interactive Fiction,Quick-Time Events,Dark",,Buy Fort Solis
Don't Be Afraid,"17 Dec, 2020",Limo Games,Eneida Games,"First-Person,Horror,Survival,Walking Simulator,Survival Horror,Exploration,Gore,Story Rich,Simulation,Action,Singleplayer,Adventure,Realistic,Psychological Horror,Indie,Inventory Management,Violent,Thriller,Atmospheric,Great Soundtrack",,Buy Don't Be Afraid
